Time,LeftPupilDiameter,RightPupilDiameter
0,5.022198,4.924282
10.0023193359375,5.020121,4.920345
20.00146484375,5.011637,4.918036
30.0013427734375,5.002718,4.918378
40.0013427734375,4.997677,4.919713
50.00830078125,4.99711,4.923503
60.0150146484375,4.997695,5.005507
70.021240234375,4.99959,4.989195
80.02685546875,5.005778,5.004542
90.032470703125,5.007113,5.014832
100.031494140625,5.007145,5.030073
110.031127929688,5.007151,5.036282
120.031005859375,5.007174,4.974126
130.037719726563,4.919761,4.690038
140.04443359375,4.898987,4.799733
150.050537109375,4.878316,4.639984
160.05615234375,4.876584,4.617257
170.0615234375,4.876621,4.630646
180.060424804688,4.877639,4.697521
190.059936523438,4.87944,4.723377
200.059692382813,4.880503,4.718662
210.066284179688,4.88024,4.709901
220.073120117188,4.880004,4.695583
230.079223632813,4.87875,4.695601
240.084716796875,4.875469,4.696589
250.090087890625,4.875715,4.687378
260.0888671875,4.875167,4.663832
270.088012695313,4.874938,4.432999
280.087646484375,4.875873,4.422056
290.094360351563,4.875971,4.467363
300.100952148438,4.875699,4.487438
310.107177734375,4.874902,4.514443
320.112670898438,4.874514,4.540885
330.117919921875,4.769817,4.695258
340.116333007813,4.687144,4.667087
350.115356445313,4.847217,4.681825
360.118286132813,4.871819,4.530129
370.124755859375,4.782864,4.442207
1170.39990234375,5.214262,4.997493
1180.40539550781,5.543146,5.355827
1190.41088867188,5.143139,5.106478
1200.41589355469,5.211705,4.798684
1210.42028808594,5.20091,4.764493
1220.42431640625,5.215715,5.768169
1230.41186523438,5.222576,4.722212
1260.42065429688,5.22265,5.190442
1270.42614746094,5.222598,5.522513
1280.43127441406,5.222793,5.422658
1290.43566894531,5.223132,4.968633
1300.43957519531,5.223598,4.864632
1310.43505859375,5.225097,4.806164
1320.43249511719,5.226995,4.767606
1330.43713378906,5.228478,4.755506
1340.44226074219,5.230302,4.761085
1350.44750976563,5.233522,4.886869
1360.45251464844,5.236232,4.89138
1370.45690917969,5.239735,4.929629
1380.46081542969,5.245003,4.876337
1390.45544433594,5.251312,4.845152
1400.45190429688,5.25972,4.848637
1410.45629882813,5.267412,4.852062
1420.46130371094,5.269683,4.833276
1430.4736328125,5.270295,5.098392
1440.47863769531,5.270457,4.803373
1450.48303222656,5.270502,4.849841
1460.48681640625,5.270493,4.804891
1470.48071289063,5.270671,4.823183
1480.47644042969,5.270728,4.830607
1490.48046875,5.270174,4.837698
1500.48522949219,5.268771,4.813856
1510.49035644531,5.266503,4.84635
1520.49523925781,5.264546,4.852165
1530.49951171875,5.262305,4.817992
1540.50341796875,5.257672,4.812707
1550.49719238281,5.253202,4.811162
