Time,LeftPupilDiameter,RightPupilDiameter
0,4.892979,4.966241
10.0087890625,4.889882,4.453399
20.010986328125,4.889029,6.13153
30.013671875,4.896278,4.920466
40.0167236328125,4.897677,4.874051
50.020263671875,4.893756,4.852587
60.0235595703125,4.893031,4.906824
70.0264892578125,4.890474,4.910377
80.0289306640625,4.872141,4.879657
90.03759765625,4.852129,4.800912
100.03955078125,4.838605,4.700654
110.042114257813,4.836869,4.833078
120.045043945313,4.840729,4.748313
130.051879882813,4.845975,4.766531
140.05859375,4.849412,4.775406
150.061401367188,4.85109,4.780138
160.063720703125,4.856596,4.788092
170.072387695313,4.858041,4.771637
180.07421875,4.857857,4.963567
190.076538085938,4.851956,4.949652
200.079345703125,4.846551,4.946945
210.08251953125,4.846808,4.91603
220.085815429688,4.848754,5.051774
230.088745117188,4.851685,4.988653
240.090942382813,4.854174,4.858599
250.099609375,4.857049,4.826024
260.101196289063,4.860697,4.871112
270.103393554688,4.864007,5.00027
280.106079101563,4.870376,4.996497
290.109252929688,4.874725,4.987072
300.112426757813,4.877994,4.923584
310.115234375,4.880164,4.87746
320.117309570313,4.881909,5.109046
330.1259765625,4.88325,5.174537
340.12744140625,4.884859,4.798226
350.12939453125,4.887726,4.798985
360.131958007813,4.891675,4.857235
370.135009765625,4.894792,4.867881
380.138061523438,4.896423,4.859598
390.140747070313,4.897721,4.867094
400.146240234375,4.89936,5.134633
410.15478515625,4.91153,4.8112
420.156005859375,4.914393,5.489732
430.157836914063,4.916139,5.161057
440.16015625,4.914933,5.016747
450.162963867188,4.913757,5.25938
460.165893554688,4.913653,4.930068
470.168579101563,4.914344,4.859342
480.174072265625,4.917309,4.829655
490.182495117188,4.926896,4.833637
500.183715820313,4.935386,4.887445
510.185302734375,4.939324,4.902388
520.1875,4.941061,4.939192
530.190185546875,4.945483,4.980318
540.193115234375,4.952192,4.979861
550.195678710938,4.955653,4.980728
560.201049804688,4.959937,5.064195
570.209350585938,4.964093,4.871166
580.21044921875,4.96683,4.943188
590.2119140625,4.972735,4.916591
600.2138671875,4.979424,5.323714
610.216430664063,4.983084,4.795883
620.21923828125,4.985542,4.93203
630.221801757813,4.987222,4.957131
640.227172851563,4.98887,4.61283
650.235473632813,4.990615,4.854805
660.236572265625,4.992365,4.876667
670.237915039063,4.994604,5.358638
680.239868164063,4.994976,4.639043
690.242309570313,4.994951,5.029783
700.24853515625,4.995767,4.881529
710.251098632813,4.996522,4.857731
720.256469726563,4.997059,4.993219
730.2646484375,4.997039,5.015265
740.26904296875,4.997039,4.994936
750.270141601563,4.996969,4.98166
760.27197265625,4.995724,4.916447
770.274169921875,4.995569,4.868605
780.27685546875,4.995511,4.787242
790.279174804688,4.99534,4.796429
800.287841796875,4.995402,5.165058
810.2958984375,4.994978,5.152439
820.300170898438,4.994325,5.326921
830.301025390625,5.034016,5.579772
840.302490234375,4.867723,5.142159
850.304443359375,4.948919,6.010311
860.310424804688,4.967024,4.862326
870.312866210938,4.974083,4.820068
880.321411132813,4.97584,4.820113
890.329467773438,4.976401,4.697433
900.333618164063,4.974392,5.395045
910.33447265625,4.968874,4.938028
930.337768554688,4.963098,4.664201
940.340209960938,4.951617,4.608339
950.342529296875,4.925115,4.573131
1060.39111328125,4.935697,4.254478
1070.3916015625,4.917551,4.678874
1080.39282226563,4.809548,4.827326
1090.39440917969,4.805493,4.645143
1100.396484375,4.79948,4.635383
1110.39868164063,4.771428,4.64418
1120.40710449219,4.755846,4.734758
1130.41491699219,4.739491,4.748758
1140.4189453125,4.738259,4.741396
1150.41931152344,4.737069,4.747003
1160.42016601563,4.718499,4.742531
1170.42163085938,4.702787,4.679725
1180.42358398438,4.694979,4.64967
1190.42907714844,4.689178,4.647303
1200.43737792969,4.685367,4.633046
1210.44519042969,4.683854,4.626084
1220.44885253906,4.675046,4.676229
1230.44921875,4.660784,4.621261
1240.44995117188,4.660978,4.607296
1250.451171875,4.676291,4.605655
1260.45300292969,4.644946,4.566671
1270.46179199219,4.64296,4.563367
1280.47009277344,4.64324,4.561342
1290.47778320313,4.64385,4.558722
1300.48156738281,4.651723,4.548807
1310.48168945313,4.656427,4.546053
1320.48217773438,4.654254,4.5264
1330.48315429688,4.641843,4.52598
1340.48474121094,4.629082,4.531379
1350.49011230469,4.625678,4.534645
1360.49829101563,4.631294,4.55149
1370.505859375,4.634774,4.540847
1380.50939941406,4.635447,4.216664
1680.6318359375,4.461624,3.704316
1700.64294433594,4.490715,4.167665
1730.64318847656,4.513181,3.777864
1740.64404296875,4.526665,4.191805
1770.68920898438,4.534783,4.066935
1780.69604492188,4.61464,4.333225
1790.69580078125,4.782123,4.438472
1800.69555664063,4.701763,4.516575
1810.69567871094,4.704792,4.656218
1820.6962890625,5.205097,4.654745
1830.70434570313,4.700984,4.649676
1840.73254394531,4.690309,4.654318
1850.73986816406,4.716861,4.674879
1860.74645996094,4.738203,4.688455
1870.74609375,4.533252,4.653244
1880.74572753906,4.349135,4.647052
1890.74560546875,4.95435,4.754438
1900.74609375,4.88336,4.827607
1910.75390625,4.851669,4.410694
1920.76171875,4.774285,4.467515
1930.76892089844,4.757456,4.603556
1940.775390625,4.851055,4.602733
1950.77490234375,4.761583,4.591825
1960.7744140625,4.622179,4.591491
1970.77416992188,4.656628,4.788453
1980.7744140625,4.657848,4.76319
1990.78210449219,4.683607,4.965568
2000.78967285156,4.701785,4.990312
2010.79663085938,4.717925,4.969936
2020.80310058594,4.658877,4.365139
2030.80236816406,4.74829,4.420659
2040.8017578125,4.765961,4.640962
2050.80126953125,4.762455,4.652162
2060.8046875,4.735956,4.641896
2070.81225585938,4.735756,4.777778
2080.81970214844,4.74526,4.647022
2090.82678222656,4.749287,4.631651
2100.83312988281,4.751628,4.587359
2110.83239746094,4.748874,5.348372
2120.83178710938,4.745887,5.406525
2130.8310546875,4.746888,4.635987
2140.83459472656,4.758693,4.74186
2370.93286132813,4.821918,5.279356
2400.94982910156,4.845755,4.62173
2410.97058105469,4.438018,4.358266
2420.97692871094,4.410131,4.578456
2430.97583007813,4.869817,4.59797
2440.97485351563,4.899467,5.502188
2460.9765625,4.902077,4.607357
2470.9833984375,4.903007,4.342414
2480.990234375,4.906038,4.336442
2491.00866699219,4.914492,4.439898
2501.01477050781,4.919053,4.510199
2511.013671875,4.927966,4.456758
2521.01257324219,4.935589,4.061239
2531.01147460938,5.01792,4.326908
2591.04235839844,4.986212,4.341776
2661.07165527344,5.021388,4.59247
2701.07373046875,5.073196,4.299309
2711.080078125,5.080857,4.270535
2741.09887695313,5.115461,5.487293
2751.10095214844,5.127036,5.220709
2761.09948730469,5.134806,4.592702
3081.22521972656,5.235878,4.644971
3091.22680664063,5.22066,5.027371
3101.23193359375,5.209056,4.831875
3111.2373046875,5.203807,4.306669
3121.24304199219,5.182147,4.415564
3131.24853515625,5.17228,5.618649
3141.25415039063,5.170645,5.118535
3151.25561523438,5.17126,5.921659
3161.25390625,5.170023,5.677773
