Time,LeftPupilDiameter,RightPupilDiameter
0,4.901496,4.766144
10.002685546875,4.883101,4.678123
20.0047607421875,4.871054,4.681344
30.013427734375,4.870215,4.699251
40.015380859375,4.887664,4.706209
50.017822265625,4.906053,4.70783
60.0208740234375,4.934554,4.813358
70.0240478515625,4.958496,4.832293
80.027099609375,4.965615,4.854218
90.02978515625,4.951683,4.86545
100.031982421875,4.929325,4.864605
110.040405273438,4.919267,4.962512
120.042114257813,4.90491,4.761976
130.04443359375,4.904504,4.76876
140.04736328125,4.903664,4.711419
150.050537109375,4.903779,4.710182
160.053588867188,4.903769,4.747996
170.05615234375,4.902542,4.760689
180.061645507813,4.899867,4.763368
190.070068359375,4.904704,4.769775
200.07177734375,4.908117,4.701508
210.073974609375,4.909266,4.675994
220.07666015625,4.912431,4.901658
230.079711914063,4.913302,4.857471
240.082641601563,4.911014,4.809386
250.085327148438,4.909665,4.803165
260.090698242188,4.911884,4.811148
270.098999023438,4.913929,4.792466
280.1005859375,4.938102,4.824685
290.102416992188,4.972506,4.828268
300.10498046875,4.975112,4.810632
310.10791015625,4.969062,4.706242
320.110717773438,4.960383,4.828763
330.11328125,4.945156,4.789803
340.118774414063,4.929127,4.783384
350.126953125,4.90886,4.733183
360.128295898438,4.90478,4.619987
370.130126953125,4.875291,4.636689
380.132568359375,4.861981,4.6397
390.13525390625,4.859591,4.640901
400.138061523438,4.863428,4.6071
410.140625,4.867111,5.074825
420.14599609375,4.869168,4.824204
430.154296875,4.881084,4.755997
440.155395507813,4.883303,4.762978
450.1572265625,4.878417,4.740102
460.159423828125,4.878256,4.73374
470.162109375,4.87948,4.724001
480.164916992188,4.885281,4.714653
490.167358398438,4.888587,4.716556
500.172729492188,4.89182,4.696224
510.180908203125,4.883887,4.706062
520.181884765625,4.87839,4.736182
530.183471679688,4.874523,4.760251
540.185546875,4.875085,4.801636
550.191528320313,4.875144,4.800819
560.194091796875,4.876283,4.854062
570.196533203125,4.880284,4.86522
580.201782226563,4.883615,4.998679
590.2099609375,4.886774,4.948785
600.21435546875,4.889375,4.89852
610.215576171875,4.891466,4.868274
620.217529296875,4.89219,4.874439
630.219970703125,4.893021,4.955702
640.222534179688,4.891667,4.940216
650.224853515625,4.892961,4.933218
660.2333984375,4.934069,4.9327
670.241455078125,4.934509,4.931466
680.245727539063,4.932672,4.913794
690.246826171875,4.932169,4.764015
700.24853515625,4.932453,4.748703
710.250732421875,4.933007,4.897458
720.253173828125,4.934649,4.776083
730.25537109375,4.930802,4.769939
740.264038085938,4.922629,4.808058
750.27197265625,4.918591,4.772643
760.276000976563,4.917454,4.799627
770.277099609375,4.917384,4.817554
780.278442382813,4.917088,4.815012
790.280639648438,4.913893,4.774678
800.286376953125,4.908887,4.755177
810.28857421875,4.907413,4.780033
820.296997070313,4.902227,4.767308
830.304809570313,4.90002,4.76068
840.308837890625,4.913887,4.516498
850.3095703125,4.981493,4.625268
880.31494140625,4.680474,4.524511
920.337036132813,4.795432,4.606367
930.337768554688,4.780255,4.592056
940.3388671875,4.733413,4.583317
950.340576171875,4.713556,4.25356
1070.39440917969,4.854658,4.544624
1080.39794921875,4.813436,4.556399
1090.39831542969,4.783181,4.523365
1100.39904785156,4.683775,4.652738
1110.400390625,4.632398,4.553441
1120.40222167969,4.596307,4.523068
1130.40759277344,4.568897,4.41126
1140.41564941406,4.543371,4.469559
1150.42333984375,4.518209,4.472061
1160.42687988281,4.505874,4.461708
1170.42687988281,4.489161,4.445572
1180.42761230469,4.478175,4.443456
1190.4287109375,4.580209,4.543279
1200.43041992188,4.481595,4.546832
1210.43566894531,3.895359,4.516176
1220.44372558594,4.296416,4.506096
1230.45129394531,4.231029,4.467031
1240.45483398438,4.282967,4.454017
1250.45483398438,4.300931,4.387433
1260.45520019531,4.339293,4.339479
1270.45629882813,4.315723,4.285734
1280.45776367188,4.304646,4.172007
1290.462890625,4.301794,4.134683
1300.47094726563,4.299738,4.119155
1310.478515625,4.285511,4.372512
1320.48193359375,4.283077,4.397545
1330.48193359375,4.280187,4.309234
1340.48217773438,4.280112,4.380393
1350.48315429688,4.281188,4.395567
1360.48449707031,4.346505,4.376725
1370.48962402344,4.34381,4.33924
1380.49780273438,4.351308,4.722697
1390.50524902344,4.490017,4.462814
1400.51232910156,4.320724,4.399774
1410.51220703125,4.344598,4.378799
1420.51232910156,4.522446,4.369062
1430.51306152344,4.501933,4.334413
1440.51440429688,4.484238,4.299794
1450.51940917969,4.478849,4.300791
1460.52746582031,4.478106,4.303599
1470.53491210938,4.475735,4.303548
1480.54187011719,4.4682,4.302805
1490.54162597656,4.464233,4.30286
1500.54174804688,4.466776,4.302691
1510.54235839844,4.469727,4.30777
1520.54357910156,4.486268,4.309864
1530.55200195313,4.494466,4.312552
1540.55993652344,4.506639,4.312734
1550.5673828125,4.5028,4.316188
1560.57409667969,4.504489,4.316679
1570.57373046875,4.4993,4.316895
1580.57360839844,4.491162,4.318758
1590.57385253906,4.488597,4.321507
1600.57482910156,4.489569,4.328732
1610.5830078125,4.502914,4.330145
1620.5908203125,4.507664,4.329704
1630.59802246094,4.513754,4.333423
1640.60473632813,4.528552,4.347256
1650.60424804688,4.534295,4.354866
1660.60388183594,4.467644,4.358798
1670.60400390625,4.445611,4.366431
1680.60461425781,4.414587,4.376626
1690.61267089844,4.276104,4.423653
1700.62048339844,4.536539,4.401137
1710.62768554688,4.4826,4.39556
1720.63427734375,4.445931,4.398123
1730.63366699219,4.454482,4.39995
1740.63317871094,3.448698,4.400813
1750.63317871094,4.509836,4.401856
1760.63354492188,4.535982,4.403351
1770.64147949219,4.55942,4.407351
1780.64916992188,4.464231,4.428326
1790.65612792969,4.447366,4.435585
1800.66271972656,4.446103,4.441377
1810.662109375,4.474428,4.445067
1820.66137695313,4.498567,4.444681
1830.6611328125,4.589503,4.438124
1840.66162109375,4.61532,4.463525
1850.66931152344,3.747376,4.465874
1860.67700195313,4.48884,4.467451
1870.68408203125,4.50776,4.466253
1880.69067382813,4.430836,4.465381
1890.68981933594,4.500878,4.477734
1900.68908691406,4.459824,4.474391
1910.68872070313,4.653124,4.458
1920.68884277344,4.657499,4.460947
1930.69653320313,4.647199,4.465027
1940.7041015625,4.635732,4.460277
1950.71105957031,4.629881,4.4556
1960.71752929688,4.636402,4.456518
1970.71655273438,4.633502,4.455373
1980.7158203125,4.575101,4.438854
1990.71533203125,4.547453,4.431818
2000.71875,4.322871,4.430401
2010.72631835938,4.337147,4.430343
2020.73376464844,4.546432,4.430367
2030.74084472656,4.43013,4.432258
2040.7470703125,3.971331,4.439194
2050.74621582031,3.938607,4.461774
2060.74523925781,3.902092,4.456532
2070.74450683594,3.86829,4.444353
2080.74780273438,3.851898,4.437331
2090.75512695313,4.746158,4.420537
2100.76245117188,4.563923,4.40236
2110.76928710938,4.380142,4.405918
2120.77563476563,4.490053,4.404507
2130.77453613281,3.592851,4.399992
2140.77355957031,4.407451,4.398966
2150.77270507813,4.470286,4.402792
2160.77575683594,4.608324,4.398817
2170.78295898438,4.611693,4.385499
2180.80627441406,4.60592,4.378379
2190.81311035156,4.595292,4.37922
2200.8193359375,4.518491,4.447604
2210.82165527344,4.517658,4.467161
2220.82055664063,4.55494,4.434022
2230.81945800781,4.599708,4.439651
2240.82250976563,4.607213,4.43399
2250.82934570313,4.671723,4.666144
2260.83654785156,4.676268,4.386944
2420.89379882813,4.631651,4.977776
2430.9130859375,4.541451,5.103986
2440.91906738281,4.54518,5.23832
2450.92114257813,4.62657,4.76437
2460.91955566406,4.445341,4.736962
2470.91821289063,4.403047,5.131475
2480.92407226563,4.380605,5.126565
2490.93054199219,4.448482,5.077641
2500.93713378906,4.446324,4.926381
2510.94360351563,4.522521,4.876937
2520.94958496094,4.63485,4.835456
2530.95153808594,4.706378,4.810991
2540.95007324219,4.731323,4.959671
2550.94848632813,4.418369,4.946605
2560.95434570313,4.418521,4.942932
2570.96044921875,4.544061,5.027869
2580.96691894531,4.612583,4.849414
2590.97338867188,4.469261,4.690787
2600.97924804688,4.457439,4.658658
2610.98107910156,4.396913,4.654689
2620.9794921875,4.876589,4.667731
2630.97802734375,4.484098,4.716321
2640.98352050781,4.45329,4.89214
2650.98950195313,4.4458,4.828251
2660.99584960938,4.445219,4.826687
2671.01245117188,4.391445,4.893787
2681.02563476563,4.388247,4.958971
2691.02734375,4.382479,4.804974
2701.02575683594,4.380116,4.806376
2711.02404785156,4.385815,4.732676
2721.02941894531,4.404314,4.955714
2731.03527832031,4.391602,4.817025
2741.04150390625,4.389753,4.753652
2751.04760742188,4.386256,4.710316
2761.05334472656,4.37017,4.704032
2771.05517578125,4.380575,4.791887
2781.05334472656,4.533439,4.435553
2791.05163574219,4.390485,4.277376
2801.05688476563,4.304413,4.14606
2811.0625,4.272662,4.31867
2821.06848144531,4.269855,4.37598
2831.07434082031,4.277406,4.374822
2841.080078125,4.284144,4.374969
2851.08178710938,4.285051,4.36315
2861.07983398438,4.290984,4.356256
2871.078125,4.289954,4.350298
2881.08325195313,4.286715,4.348067
2891.08874511719,4.297831,4.348455
2901.0947265625,4.254679,4.349716
2911.1005859375,4.293062,4.348414
2921.10620117188,4.307603,4.349352
2931.10791015625,4.349546,4.355939
2941.10595703125,4.390079,4.295119
3261.22631835938,4.435472,4.364192
3271.22680664063,4.398866,4.463529
3281.2314453125,4.245452,4.426681
3291.23620605469,4.447013,4.309833
3301.24145507813,4.523752,4.262118
3311.24658203125,4.537336,4.266067
3321.25158691406,4.473346,4.30091
3331.25634765625,4.399281,4.375929
3341.25146484375,4.38779,4.368278
3351.25146484375,4.648753,4.325515
3361.25598144531,4.566432,4.34454
3371.26062011719,4.49033,4.356569
3381.265625,4.479153,4.366961
3391.27062988281,4.570872,4.362147
3401.27563476563,4.418427,4.332967
3411.28381347656,4.420672,4.334164
3421.28308105469,4.422214,4.342926
3431.28759765625,4.453422,4.343154
3441.29211425781,4.46713,4.343163
3451.29638671875,4.475531,4.345857
3461.30126953125,4.482628,4.393121
3471.30603027344,4.465535,4.403645
3481.31091308594,4.466076,4.409124
3491.31896972656,4.2124,4.413772
3501.31213378906,4.20228,4.422618
3511.31652832031,4.751227,4.422318
3521.32092285156,4.511723,4.483736
3531.32507324219,4.850239,4.675844
3541.32971191406,4.416487,4.463692
3551.33447265625,4.840055,4.424206
3561.33898925781,4.46548,4.452123
3571.34338378906,4.434081,4.337964
3581.33520507813,4.435613,4.431771
3591.33947753906,4.438822,4.44018
3601.34362792969,4.443552,4.450977
3611.34777832031,4.446745,4.46112
3621.35229492188,4.453443,4.45636
3631.35656738281,4.463188,4.457947
