Time,LeftPupilDiameter,RightPupilDiameter
0,6.451362,5.931619
9.994384765625,6.448618,5.929289
19.9991455078125,6.445851,5.918814
30.0037841796875,6.442632,5.909711
40.00830078125,6.438754,6.027192
50.0128173828125,6.435473,6.034266
60.017333984375,6.432566,6.096849
70.0218505859375,6.429818,5.891376
80.0203857421875,6.426728,5.882839
90.0135498046875,6.424539,5.877517
100.017944335938,6.422058,5.871483
110.0224609375,6.419536,5.868461
120.026977539063,6.41757,5.864577
130.03125,6.414288,5.863003
140.03564453125,6.411125,5.862844
150.0400390625,6.409108,5.862886
160.044189453125,6.407598,5.863069
170.036865234375,6.406495,5.863406
180.041137695313,6.405796,5.863932
190.045532226563,6.402734,5.864149
200.049926757813,6.400839,5.861823
210.054077148438,6.400291,5.860736
220.058349609375,6.400189,5.859603
230.0625,6.400031,5.857551
240.066650390625,6.399919,5.855878
250.064697265625,6.399901,5.854616
260.068969726563,6.399661,5.852534
270.0732421875,6.39953,5.849579
280.077514648438,6.399426,5.846475
290.081665039063,6.399243,5.844814
300.085693359375,6.398864,5.843941
310.08984375,6.398413,5.843293
320.09375,6.39816,5.84264
330.091674804688,6.398129,5.842864
340.095947265625,6.398121,5.843623
350.100219726563,6.397771,5.844417
360.104370117188,6.397476,5.845509
370.108520507813,6.396796,5.845965
380.112426757813,6.396022,5.845998
390.116455078125,6.395068,5.846211
400.120239257813,6.394167,5.846724
410.117309570313,6.393334,5.847441
420.12158203125,6.392826,5.849478
430.125610351563,6.392554,5.850557
440.129760742188,6.392368,5.851893
450.133666992188,6.392298,5.85334
460.137451171875,6.391167,5.854888
470.14111328125,6.389781,5.856523
480.144897460938,6.389184,5.8577
490.140991210938,6.387599,5.859376
500.145141601563,6.386091,5.862347
510.149047851563,6.384756,5.86466
520.153076171875,6.384217,5.866107
530.156982421875,6.383974,5.867029
540.160766601563,6.383864,5.867279
550.164306640625,6.383733,5.867341
560.16796875,6.383156,5.867387
570.163818359375,6.381617,5.86751
580.167724609375,6.380459,5.86751
590.171875,6.380089,5.867652
600.17578125,6.379934,5.86784
610.1796875,6.379926,5.868339
620.183227539063,6.379968,5.869229
630.186645507813,6.380141,5.870175
640.190307617188,6.380218,5.871379
650.193969726563,6.380224,5.871817
660.197998046875,6.380513,5.87147
670.202026367188,6.380663,5.871103
680.2060546875,6.380872,5.869664
690.2099609375,6.381217,5.86798
700.213500976563,6.38183,5.866342
710.216918945313,6.383074,5.865457
720.220336914063,6.384808,5.865589
730.224243164063,6.386671,5.866272
740.228149414063,6.387829,5.866618
750.232055664063,6.388939,5.866271
760.235961914063,6.390183,5.865558
770.239868164063,6.391122,5.864577
780.243286132813,6.391673,5.860078
790.246459960938,6.392099,5.856006
800.249633789063,6.392439,5.854411
810.253173828125,6.392833,5.853873
820.2568359375,6.394225,5.853324
830.2607421875,6.396039,5.852551
840.264404296875,6.397836,5.851273
850.26806640625,6.399824,5.850886
860.271484375,6.401054,5.850592
870.274536132813,6.40194,5.850245
880.277587890625,6.402215,5.847914
890.281005859375,6.40215,5.846366
900.288208007813,6.400826,5.844901
910.291748046875,6.395518,5.832255
920.295532226563,6.376427,5.821831
930.299072265625,6.328542,5.805172
940.30224609375,6.278793,5.851158
950.30517578125,6.21947,5.799344
960.308227539063,6.182189,5.788094
970.311279296875,6.13285,5.683194
980.314819335938,6.130255,5.650702
990.318237304688,6.127093,5.631583
1000.32177734375,6.098408,5.594624
1010.32531738281,6.046793,5.560918
1020.32836914063,6.000574,5.541102
1030.3310546875,5.969183,6.073105
1040.33386230469,5.932506,6.064931
1050.33679199219,5.894205,6.036959
1060.34033203125,5.855884,6.003495
1070.34375,5.829214,5.927373
1080.34704589844,5.806839,5.912572
1090.3505859375,5.783804,5.891974
1100.35363769531,5.762251,5.835445
1110.35632324219,5.741276,5.781547
1120.36242675781,5.721384,5.765285
1130.365234375,5.705495,5.751915
1140.36853027344,5.690216,5.750322
1150.37548828125,5.669281,5.736851
1160.37878417969,5.654171,5.719199
1170.38232421875,5.635128,5.702232
1180.38525390625,5.622393,5.68777
1190.38781738281,5.610341,5.679748
1200.39379882813,5.593388,5.672208
1210.396484375,5.579909,5.741213
1220.39965820313,5.567493,5.71603
1230.40307617188,5.554918,5.700335
1240.40637207031,5.547873,5.682309
1250.40954589844,5.543292,5.673336
1260.41247558594,5.532431,5.651142
1270.4150390625,5.525204,5.636239
1280.42077636719,5.516964,5.690604
1290.42321777344,5.510283,5.689182
1300.42626953125,5.505523,5.665396
1310.42956542969,5.501652,5.648439
1320.4326171875,5.499805,5.637584
1330.43579101563,5.499632,5.634827
1340.43859863281,5.499783,5.63401
1350.44104003906,5.500699,5.634371
1360.44665527344,5.50425,5.629834
1370.45239257813,5.508256,5.633152
1380.45520019531,5.51159,5.656201
1390.45849609375,5.522017,5.688997
1400.46154785156,5.603405,5.670678
1410.46447753906,5.588187,5.80826
1420.46728515625,5.531651,5.823052
1430.46960449219,5.539186,5.84786
1440.47509765625,5.557955,5.84683
1450.48071289063,5.575024,5.839569
1460.4833984375,5.59138,5.836287
1470.48999023438,5.612664,5.832398
1480.49291992188,5.627633,5.83271
1490.49584960938,5.640256,5.833711
1500.49853515625,5.65205,5.833955
1510.50073242188,5.663011,5.836296
1520.50952148438,5.676295,5.839689
1530.51489257813,5.695426,5.846799
1540.51745605469,5.713144,5.851241
1550.52026367188,5.721304,5.855319
1560.52307128906,5.734148,5.866615
1570.52587890625,5.75744,5.884855
1580.52856445313,5.772338,5.906157
1590.53063964844,5.790086,5.916343
1600.53930664063,5.810494,5.928147
1610.54455566406,5.832022,5.938037
1620.546875,5.846887,5.943973
1630.54956054688,5.861796,5.937419
1640.55236816406,5.931105,5.93665
1650.55517578125,5.982998,6.137467
1660.55773925781,6.023404,6.101023
1690.57348632813,5.925091,6.044952
1700.57556152344,5.93873,6.053984
1710.58166503906,5.940886,6.05897
1720.58435058594,5.940979,6.061929
1730.58715820313,5.942762,6.063278
1740.58972167969,5.947769,6.064239
1750.591796875,5.957471,6.068845
1760.60021972656,5.967404,6.072752
1770.60522460938,5.974334,6.077525
1780.60729980469,5.978505,6.082935
1790.60986328125,5.981905,6.085086
1800.61254882813,5.987264,6.08994
1810.615234375,5.993186,6.096001
1820.61767578125,6.002306,6.113676
1830.61962890625,6.012888,6.123397
1840.6279296875,6.022863,6.130689
1850.6328125,6.031101,6.140789
1860.63439941406,6.041712,6.157994
1870.63671875,6.052743,6.168756
1880.64282226563,6.062417,6.171374
1890.64526367188,6.067929,6.171677
1900.64770507813,6.075812,6.169849
1910.64965820313,6.092101,6.290473
1920.65783691406,6.134386,5.723995
1950.66638183594,6.135748,6.187779
1960.6689453125,6.125164,6.181308
1970.67138671875,6.104528,6.152555
1980.67370605469,6.086179,6.122023
1990.67895507813,6.068827,6.084136
2000.68713378906,6.0519,6.063424
2010.69165039063,6.03621,6.04247
2020.69311523438,6.021011,6.026958
2030.69494628906,6.010264,6.01409
2040.697265625,5.999111,6.002906
2050.69970703125,5.99159,5.992292
2060.70202636719,5.987156,5.980205
2070.70715332031,5.981896,5.972434
2080.71520996094,5.968858,5.969832
2090.7197265625,5.954677,5.969607
2100.72106933594,5.947022,5.962672
2110.72302246094,5.941124,5.962237
2120.72534179688,5.938109,5.961804
2130.72778320313,5.935133,5.959315
2140.73010253906,5.932974,5.958488
2150.7353515625,5.931556,5.959404
2160.74340820313,5.928794,5.961431
2170.74755859375,5.929314,5.962509
2180.74890136719,5.930098,5.963241
2190.75048828125,5.930564,5.965438
2200.75268554688,5.932738,5.969495
2210.75512695313,5.941781,5.974188
2220.75732421875,5.961178,5.978375
2230.76245117188,5.972144,5.991073
2240.77038574219,5.982038,6.000156
2250.77465820313,5.988573,6.008545
2260.77563476563,5.997387,6.02661
2270.77722167969,6.012888,6.04581
2280.78283691406,6.027461,6.065416
2290.78479003906,6.044705,6.081983
2300.78698730469,6.057869,6.087681
2310.7919921875,6.064273,6.096797
2320.79992675781,6.070349,6.105883
2330.80725097656,6.079524,6.110531
2340.80798339844,6.087285,6.1285
2350.80944824219,6.097377,6.151227
2360.81115722656,6.106833,6.175317
2370.81323242188,6.129797,6.1862
2380.81518554688,6.145715,6.192268
2390.82348632813,6.154776,6.206904
2400.83129882813,6.158399,6.219789
2410.83850097656,6.16449,6.236864
2420.83911132813,6.177308,6.240627
2430.84020996094,6.193403,6.242779
2440.84191894531,6.206161,6.24548
2450.84387207031,6.217427,6.252991
2460.84582519531,6.222652,6.26088
2470.85412597656,6.228792,6.268762
2480.86181640625,6.239278,6.278836
2490.86877441406,6.250048,6.292049
2500.86926269531,6.258325,6.299518
2510.87036132813,6.270122,6.304749
2520.87182617188,6.327495,6.43363
2530.87365722656,6.563678,6.384765
2540.87548828125,6.124612,6.418749
2550.88366699219,6.445782,6.347069
2560.89123535156,6.451241,6.345502
2570.89819335938,6.442991,6.470221
2580.89855957031,6.456596,6.301785
2590.8994140625,6.466416,6.290599
2620.90417480469,6.446605,6.031476
2630.91235351563,6.441013,6.016571
2640.919921875,6.436988,5.94307
2650.92687988281,6.437779,5.983956
2660.92700195313,6.439827,6.004552
2670.92785644531,6.445854,6.005179
2680.92907714844,6.448162,5.999641
2690.93078613281,6.45136,5.996559
2700.93237304688,6.451121,5.997375
2710.94067382813,6.453083,6.005518
2720.94812011719,6.454745,6.077492
2730.955078125,6.455484,6.098793
2740.955078125,6.455974,6.103138
2750.95556640625,6.458075,6.106938
2760.95666503906,6.460715,6.115462
2770.9580078125,6.462121,6.126325
2780.96301269531,6.461737,5.982154
2790.9912109375,6.460417,5.972444
2800.99865722656,6.460995,5.96677
2811.00537109375,6.461284,5.955961
2821.00524902344,6.460798,5.946992
2831.00561523438,6.458917,5.94205
2841.00659179688,6.453517,5.927518
2851.01135253906,6.441972,6.059184
2861.01635742188,6.429742,6.055224
2871.02429199219,6.420928,6.043913
2881.03173828125,6.415531,6.036766
2891.03857421875,6.409444,6.030671
2901.03820800781,6.400115,5.972101
2941.04479980469,6.403752,6.221765
2951.052734375,5.914939,5.903969
2961.06005859375,6.244156,6.97695
2971.06665039063,6.444366,6.67508
2981.06628417969,6.431069,6.185347
2991.06628417969,6.284223,5.473875
3001.06689453125,6.261517,5.658285
3011.06799316406,6.244603,6.547055
3041.087890625,6.178046,6.25291
3051.09460449219,6.147039,6.240926
3061.09411621094,6.124425,6.253525
3071.09399414063,6.126711,6.248897
3081.09436035156,6.132131,6.236271
3091.09509277344,6.126565,6.234094
3101.10327148438,6.125998,6.231042
3111.11108398438,6.124414,6.228342
3121.11828613281,6.116504,6.203176
3131.12475585938,6.118353,6.20793
3141.12414550781,6.16277,6.230933
3151.12377929688,6.189706,6.254136
3161.1240234375,6.249362,6.261489
3171.12475585938,6.269726,6.255602
3181.12939453125,6.33793,6.254483
3191.13708496094,6.323441,6.277987
3201.14428710938,6.263134,6.313178
3211.15075683594,6.264956,6.33824
3221.14990234375,6.272378,6.359884
3231.1494140625,6.296405,6.359919
3241.1494140625,6.275983,6.36087
3251.14990234375,6.266101,6.332776
3261.15783691406,6.268256,6.333735
3271.16552734375,6.32018,6.33903
3281.17260742188,6.309959,6.341728
